,Unnamed: 0,victim.victim_id,attribute.confidentiality.data_disclosure,victim.orgsize,victim.country,action.social.variety,timeline.incident.day,timeline.incident.month,timeline.incident.year,action.error.variety,action.hacking.variety,action.malware.variety,action.misuse.variety,action.physical.variety,victim.state,victim.secondary.victim_id,action.environmental.variety,targeted,incident_id,reference,confidence,victim.employee_count,victim.government,victim.industry,victim.region,victim.revenue.amount,victim.revenue.iso_currency_code,impact.iso_currency_code,impact.loss.amount,impact.loss.max_amount,impact.loss.min_amount,impact.overall_amount,impact.overall_max_amount,impact.overall_min_amount,impact.overall_rating,security_incident,victim.industry2,victim.industry3,victim.orgsize.1,code,NAICS industry
3914,3914,owensboro medical practice,Yes,Unknown,US,,24.0,6.0,2014,,,,Privilege abuse,,KY,,,,6DA80E03-26C7-48F0-BF6B-D65C7CFE530D,http://healthitsecurity.com/2014/09/24/medical-practice-notifies-3000-patients-of-data-breach/; http://www.14news.com/story/26609328/data-breach-at-owensboro-medical-practice; http://drvora.com/Public%20Notice%20MI.pdf,,101 to 1000,,621111,19021,,,,,,,,,,Unknown,Confirmed,62,621,Unknown,621111,Offices of Physicians (except Mental Health Specialists)
3921,3921,united states department of veterans affairs,Yes,Unknown,US,,20.0,5.0,2013,Misdelivery,,,,,TX,,,,6DCD8270-C3F4-485B-B542-C6DC8C413BF1,http://vcdb.org/pdf/va-security.pdf,,Over 100000,Unknown,923140,19021,,,,,,,,,,,Confirmed,92,923,Unknown,923140,Administration of Veterans' Affairs
3929,3929,american income life,Yes,Unknown,US,,15.0,6.0,2014,,,,,,TX,,,,6E32CBC0-D262-465E-9D89-A7B007A9CBB0,http://krebsonsecurity.com/2014/09/medical-records-for-sale-in-underground-stolen-from-texas-life-insurance-firm/,,101 to 1000,,524210,19021,,,,,,,,,,Unknown,Confirmed,52,524,Unknown,524210,Insurance Agencies and Brokerages
3931,3931,lake granbury medical center,Yes,Unknown,US,,4.0,4.0,2012,,,,,Theft,TX,,,,6E4E46A3-927F-4C0D-BCCB-BE3240FC9D53,https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf,,101 to 1000,,622110,19021,,,,,,,,,,Unknown,Confirmed,62,622,Unknown,622110,General Medical and Surgical Hospitals
3932,3932,wallace community college,Yes,Unknown,US,,,,2012,,Unknown,,,,AL,,,,6E4E68A1-C346-47E3-99DC-FDDF4F7DE19F,"http://pastebin.com/qtJSibas, http://www.databreaches.net/?p=23351 ",,101 to 1000,,611210,19021,7100000.0,USD,,,,,,,,Unknown,Confirmed,61,611,Unknown,611210,Junior Colleges
3938,3938,us postal service,Yes,Unknown,US,,,,2013,,,,Unapproved hardware,,PA,,,,6E7C7477-939B-431C-BFF0-274868332326,http://www.phillyburbs.com/00redesign/news/local/abington-postal-workers-charged-with-id-theft/article_f0cb6a84-9e47-594f-b833-40d74686b6a4.html,,Over 100000,,491110,19021,,,,,,,,,,Unknown,Confirmed,49,491,Unknown,491110,Postal Service
3952,3952,newmark knight frank,Yes,Unknown,US,,,7.0,2018,,,,Unapproved software,,NY,,,,cd290890-9726-11e8-8342-0f8f10fcd812,https://therealdeal.com/2018/07/19/newmark-claims-former-broker-stole-trade-secrets-shared-them-with-competitor/,High,1001 to 10000,,531390,19021,,,,,,,,,,,Confirmed,53,531,Unknown,531390,Other Activities Related to Real Estate
3953,3953,first niagrara bank trustco bank berkshire bank,Yes,Unknown,US,,30.0,9.0,2015,,,,,Tampering,NY,,,,CDDDBE43-3D93-4D66-9EAE-5351DBDC86AA,http://www.dailyfreeman.com/general-news/20160909/columbia-county-bank-customers-targeted-by-atm-skimmers-indictment-says,,1001 to 10000,,522110,19021,,,,,,,,,,Unknown,Confirmed,52,522,Unknown,522110,Commercial Banking
3954,3954,anthem blue cross,Yes,Unknown,US,,,11.0,2014,Misdelivery,,,,,CA,,,,6F104F02-564F-4D70-85A8-F4D6B16E266E,http://bits.blogs.nytimes.com/2014/11/10/oops-health-insurer-exposes-member-data/?_r=0,,50001 to 100000,,524114,19021,,,,,,,,,,Unknown,Confirmed,52,524,Unknown,524114,Direct Health and Medical Insurance Carriers
3956,3956,tennessee valley authority,Yes,Unknown,US,Bribery,,,2016,,,,Knowledge abuse,,,,,,C6E2664A-4AA2-447F-A74B-774450571D11,https://www.theguardian.com/business/2016/aug/11/nuclear-consultant-accused-espionage-china-us-szuhsiung-allen-ho,,10001 to 25000,,221113,19021,,,,,,,,,,Unknown,Confirmed,22,221,Unknown,221113,Nuclear Electric Power Generation
3963,3963,verity health systems,Yes,Unknown,US,Pretexting,27.0,4.0,2016,,,,,,CA,,,,80864D27-8AD1-449E-B21F-F251FA933375,http://www.scmagazine.com/employee-information-compromised-in-verity-health-systems-breach/article/500568/; https://oag.ca.gov/system/files/Verity%20Health%20System%20-%20Sample%20Notice_0.pdf,,Large,,622110,19021,,,,,,,,,,Unknown,Confirmed,62,622,Unknown,622110,General Medical and Surgical Hospitals
3964,3964,democratic national committee,Yes,Unknown,US,,,1.0,2015,,Unknown,,,,DC,,,,1E17954F-79AD-4318-9C28-79011D3A5612,http://www.politico.com/story/2016/08/democratic-donors-identity-theft-cyberhack-227140; https://www.databreaches.net/wikileaks-misstep-leaks-thousands-of-dnc-emails-some-containing-personal-information/; https://www.databreaches.net/wikileaks-posts-nearly-20000-hacked-dnc-emails-online/; http://www.amestrib.com/news/wikileaks-posts-nearly-20000-hacked-dnc-emails-online,,101 to 1000,,813940,19021,,,,,,,,,,Unknown,Confirmed,81,813,Unknown,813940,Political Organizations
3965,3965,ace homecare llc,Yes,Unknown,US,,13.0,2.0,2013,,,,,Snooping,FL,,,,6F56D02A-E8D5-4172-A3CF-01D51CEDA865,http://tbo.com/news/crime/tampa-teenager-charged-in-fraudulent-visa-card-scheme-b82494525z1 (20130529) http://www.baynews9.com/content/news/baynews9/news/article.html/content/news/articles/bn9/2013/5/21/detectives_armwood_h.html (20130529),,101 to 1000,,621610,19021,14400000.0,USD,,,,,,,,Unknown,Confirmed,62,621,Unknown,621610,Home Health Care Services
3973,3973,united states department of veterans affairs,Yes,Unknown,US,,6.0,3.0,2012,Misdelivery,,,,,MI,,,,6F9F266A-BE6A-4FFE-82C4-510D55C75E89,http://vcdb.org/pdf/va-security.pdf,,Over 100000,Unknown,923140,19021,,,,,,,,,,,Confirmed,92,923,Unknown,923140,Administration of Veterans' Affairs
3980,3980,university of texas md anderson cancer center,Yes,Unknown,US,,2.0,12.0,2013,Loss,,,,,TX,,,,6FBE7156-1272-402A-BA4C-5A23A7D0C4D9,http://www.phiprivacy.net/updates-to-hhs-breach-tool/; http://www.hhs.gov/ocr/privacy/hipaa/administrative/breachnotificationrule/breachtool.html; http://www.mdanderson.org/about-us/compliance-program/substitute-notice.html,,10001 to 25000,,622310,19021,,,,,,,,,,Unknown,Confirmed,62,622,Unknown,622310,Specialty (except Psychiatric and Substance Abuse) Hospitals
3983,3983,united states department of veterans affairs,Yes,Unknown,US,,26.0,10.0,2012,Misdelivery,,,,,MN,,,,6FD229BD-D270-435E-ADA3-BF449E35A196,http://vcdb.org/pdf/va-security.pdf,,Over 100000,Unknown,923140,19021,,,,,,,,,,,Confirmed,92,923,Unknown,923140,Administration of Veterans' Affairs
3990,3990,brooklyn administration for childrens services and the health and hospitals corporation,Yes,Unknown,US,,,2.0,2015,,,,,,NY,,Fire,,61f30dd0-df83-11ea-b677-2b9ec926ea06,http://www.nytimes.com/2015/02/02/nyregion/large-warehouse-fire-continues-to-burn-in-brooklyn.html?_r=0,High,Large,Unknown,92312,19021,,,,,,,,,,,Confirmed,92,923,Unknown,92312,Administration of Public Health Programs
3999,3999,united states department of veterans affairs,Yes,Unknown,US,,6.0,2.0,2013,Misdelivery,,,,,MN,,,,703A334E-0F5C-43AC-8372-8D2546564813,http://vcdb.org/pdf/va-security.pdf,,Over 100000,Unknown,923140,19021,,,,,,,,,,,Confirmed,92,923,Unknown,923140,Administration of Veterans' Affairs
4006,4006,frontier natural products coop,Yes,Unknown,US,,14.0,9.0,2012,,Unknown,,,,IA,,,,705B8294-3FF5-4BB3-A366-A3DB254FCCF4,http://www.atg.state.vt.us/assets/files/Frontier%20Security%20Breach%20Notice%20Ltr%20to%20consumer.pdf,,101 to 1000,,424210,19021,,,,,,,,,,Unknown,Confirmed,42,424,Unknown,424210,Drugs and Druggists' Sundries Merchant Wholesalers
4014,4014,united states department of veterans affairs,Yes,Unknown,US,,16.0,7.0,2012,Misconfiguration,,,,,VT,,,,70A24128-7490-4FF5-8007-3AF415EC0C9A,http://vcdb.org/pdf/va-security.pdf,,Over 100000,Unknown,923140,19021,,,,,,,,,,,Confirmed,92,923,Unknown,923140,Administration of Veterans' Affairs
4015,4015,united states department of veterans affairs,Yes,Unknown,US,,3.0,3.0,2014,Misdelivery,,,,,PA,,,,70AE5FF8-CEB6-40B2-9014-F0405E533BE1,http://vcdb.org/pdf/va-security-mar-2014.pdf,,Over 100000,Unknown,923140,19021,,,,,,,,,,,Confirmed,92,923,Unknown,923140,Administration of Veterans' Affairs
4017,4017,brigham and womens hospital,Yes,Unknown,US,Phishing,,,2015,,Use of stolen creds,,,,MA,,,,7C600AF0-F4D2-4482-AB0F-6C965A2EDB15,http://www.databreaches.net/compromised-email-account-exposed-patient-info-from-brigham-and-womens-and-brigham-and-womens-faulkner-hospitals/,,10001 to 25000,,622110,19021,,,,,,,,,,Unknown,Confirmed,62,622,Unknown,622110,General Medical and Surgical Hospitals
4032,4032,palm beach county health department,Yes,Unknown,US,,,,2013,,,,Privilege abuse,,FL,,,,712C726D-887B-4E98-9299-FE409EB68087,http://healthitsecurity.com/2013/02/13/palm-beach-county-health-weathers-latest-health-data-breach/,,101 to 1000,Unknown,923120,19021,,,,,,,,,,,Confirmed,92,923,Unknown,923120,Administration of Public Health Programs
4033,4033,oklahoma city indian clinic,Yes,Unknown,US,,28.0,7.0,2014,Misdelivery,,,,,OK,,,,7133BB82-0DA2-4F38-AAC7-922BDE08C15B,http://www.phiprivacy.net/recent-updates-to-hhss-public-breach-tool/; http://www.hhs.gov/ocr/privacy/hipaa/administrative/breachnotificationrule/breachtool.html,,101 to 1000,,62111,19021,,,,,,,,,,Unknown,Confirmed,62,621,Unknown,62111,Offices of Physicians
4038,4038,united states department of veterans affairs,Yes,Unknown,US,,27.0,3.0,2012,,,,Privilege abuse,,OR,,,,716C6ECC-CA3E-4E26-AACB-94459F86AF83,http://vcdb.org/pdf/va-security.pdf,,Over 100000,Unknown,923140,19021,,,,,,,,,,,Confirmed,92,923,Unknown,923140,Administration of Veterans' Affairs
4041,4041,metropolitan council,Yes,Unknown,US,,,,2012,Publishing error,,,,,MN,,,,6512f7f0-c4fe-11e9-8a5a-abdcbb867af8,https://www.nashvillescene.com/news/pith-in-the-wind/article/21083101/metro-to-settle-lawsuit-after-exposing-employee-social-security-numbers,High,1001 to 10000,Unknown,921,19021,,,,,,,,,,,Confirmed,92,921,Unknown,921,"Executive, Legislative, and Other General Government Support "
4048,4048,network solutions,Yes,Unknown,US,,,8.0,2019,,Unknown,,,,AL,,,Unknown,49f30070-2099-11ec-82c4-4d3486f21395,https://securityboulevard.com/2019/12/domain-provider-network-solutions-announces-data-breach/,,101 to 1000,,518210,19021,,,,,,,,,,,Confirmed,51,518,Unknown,518210,"Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services"
4050,4050,wells fargo,Yes,Unknown,US,Bribery,,,2016,,,,Privilege abuse,,GA,,,Targeted,455474d0-8102-11e7-8520-b5d4bef506ca,http://wsav.com/2017/07/26/savannah-resident-convicted-for-bank-fraud-aggravated-identity-theft/,High,10001 to 25000,,522110,19021,,,,,,,,,,,Confirmed,52,522,Unknown,522110,Commercial Banking
4052,4052,noble house hotels resorts,Yes,Unknown,US,,5.0,9.0,2016,,,RAM scraper,,,WY,"Teton Mountain Lodge & Spa,Hotel Terra",,Unknown,e1a8ae40-d3f4-11e9-ab55-b7fffb94511d,https://www.databreaches.net/noble-house-hotels-resorts-notifies-guests-of-payment-card-breaches-at-teton-mountain-lodge-spa-and-hotel-terra/,High,101 to 1000,,721110,19021,,,,,,,,,,,Confirmed,72,721,Unknown,721110,Hotels (except Casino Hotels) and Motels
4053,4053,community mercy health partners,Yes,Unknown,US,,,,2015,Disposal error,,,,,OH,,,,71D4E39E-67B2-4ECA-9F20-CBEE8A63C666,http://www.springfieldnewssun.com/news/news/local/community-mercy-alerting-patients-to-data-breach/nk3MK/#__federated=1; http://www.databreaches.net/oh-more-details-emerge-about-patient-records-found-at-recycling-center/; http://www.daytondailynews.com/news/news/local/private-patient-records-found-dumped-in-springfiel/npgz5/; http://www.databreaches.net/oh-community-mercy-health-partners-notifies-patients-after-vendor-improperly-discarded-patient-records/,,1001 to 10000,,622110,19021,,,,,,,,,,Unknown,Confirmed,62,622,Unknown,622110,General Medical and Surgical Hospitals
4059,4059,united states department of veterans affairs,Yes,Unknown,US,,1.0,5.0,2013,Misdelivery,,,,,ME,,,,71F168A2-2AF3-4E31-A5D5-F7E07F65D675,http://vcdb.org/pdf/va-security.pdf,,Over 100000,Unknown,923140,19021,,,,,,,,,,,Confirmed,92,923,Unknown,923140,Administration of Veterans' Affairs
4060,4060,nielsen audio,Yes,Unknown,US,,1.0,12.0,2013,Misdelivery,,,,,MD,,,,720099DE-69A3-4762-B660-9825E00FE355,http://www.scmagazine.com/nielsen-staffer-accidentally-sends-mass-email-containing-employee-data/article/333320/,,101 to 1000,,541910,19021,,,,,,,,,,Unknown,Confirmed,54,541,Unknown,541910,Marketing Research and Public Opinion Polling
4062,4062,southern new hampshire university,Yes,Unknown,US,,,1.0,2016,Publishing error,,,,,MA,,,,746f7ae0-89ad-11e7-bf1d-81579668407a,http://www.databreaches.net/southern-new-hampshire-u-still-investigating-database-leak-exposing-over-140000-records/,High,101 to 1000,,611310,19021,,,,,,,,,,,Confirmed,61,611,Unknown,611310,"Colleges, Universities, and Professional Schools "
4063,4063,seaworld entertainment inc,Yes,Unknown,US,,,,2013,,,,,Tampering,FL,,,,72181D76-C66F-4F87-85F7-FF93F482E1F7,http://articles.orlandosentinel.com/2013-12-28/news/os-seaworld-orlando-aquatica-arrest-20131228_1_skimmer-stolen-credit-card-number-aquatica-water-park ; http://www.wftv.com/news/news/local/man-arrested-alleged-skimming-operation-aquatica-w/ncWwM/,,10001 to 25000,,713110,19021,,,,,,,,,,Unknown,Confirmed,71,713,Unknown,713110,Amusement and Theme Parks
4066,4066,united states department of veterans affairs,Yes,Unknown,US,,27.0,4.0,2015,Loss,,,,,FL,,,,513BE658-4905-4FC6-B0F9-4741D80682CC,http://vcdb.org/pdf/va-security-apr-2015.pdf,,Over 100000,Unknown,923140,19021,,,,,,,,,,,Confirmed,92,923,Unknown,923140,Administration of Veterans' Affairs
4069,4069,anasazi hotel,Yes,Unknown,US,,18.0,6.0,2012,,,Unknown,,,NM,,,,7244238D-5426-47F0-8B1E-C203B3E9EFCF,http://doj.nh.gov/consumer/security-breaches/documents/rosewood-inn-anasazi-20130530.pdf,,101 to 1000,,721110,19021,5800000.0,USD,,,,,,,,Unknown,Confirmed,72,721,Unknown,721110,Hotels (except Casino Hotels) and Motels
4072,4072,united states department of veterans affairs,Yes,Unknown,US,,12.0,11.0,2015,Misdelivery,,,,,KS,,,,9FF9FAE9-B0AB-4412-8AA4-41E05DDF2E96,http://vcdb.org/pdf/va-security-nov-2015.pdf,,Over 100000,Unknown,923140,19021,,,,,,,,,,,Confirmed,92,923,Unknown,923140,Administration of Veterans' Affairs
4079,4079,united states department of veterans affairs,Yes,Unknown,US,,29.0,4.0,2011,Misdelivery,,,,,NE,,,,7288682D-B5D2-4C74-83B3-857471633A33,http://vcdb.org/pdf/va-security.pdf,,Over 100000,Unknown,923140,19021,,,,,,,,,,,Confirmed,92,923,Unknown,923140,Administration of Veterans' Affairs
4084,4084,south miami hospital,Yes,Unknown,US,Bribery,,2.0,2012,,,,Privilege abuse,,FL,,,,72C7FAAB-34AC-4FA5-A0E1-E0BD6D1C06AE,http://healthitsecurity.com/2013/03/15/new-details-emerge-in-south-miami-hospital-data-breach/; http://www.nbcmiami.com/investigations/Hospital-Identity-Theft-Growing-Amid-South-Florida-Hospitals-197866811.html; http://www.phiprivacy.net/?p=11930,,1001 to 10000,,622110,19021,,,,,,,,,,Unknown,Confirmed,62,622,Unknown,622110,General Medical and Surgical Hospitals
4088,4088,united states department of veterans affairs,Yes,Unknown,US,,8.0,10.0,2010,Loss,,,,,KS,,,,72DC8D65-55D7-40C3-89D3-1D81B2578A4E,http://vcdb.org/pdf/va-security.pdf,,Over 100000,Unknown,923140,19021,,,,,,,,,,,Confirmed,92,923,Unknown,923140,Administration of Veterans' Affairs
4091,4091,sutter health,Yes,Unknown,US,,1.0,3.0,2011,Misdelivery,,,,,CA,Alta Bates Summit Medical Center,,,72EECE19-7DD1-4FA9-A04B-BB706B52C4E9,http://www.hhs.gov/ocr/privacy/hipaa/administrative/breachnotificationrule/breachtool.html,,25001 to 50000,,622110,19021,,,,,,,,,,Unknown,Confirmed,62,622,Unknown,622110,General Medical and Surgical Hospitals
4092,4092,chi good samaritan,Yes,Unknown,US,,,,2016,,,,,,NE,,,,72F64D33-1541-4EDD-A7BE-58F833E7539A,http://www.nebraska.tv/story/31551065/personal-info-stolen-from-chi-employees,,Large,,621111,19021,,,,,,,,,,Unknown,Confirmed,62,621,Unknown,621111,Offices of Physicians (except Mental Health Specialists)
4095,4095,united states department of veterans affairs,Yes,Unknown,US,,3.0,2.0,2014,Misdelivery,,,,,PA,,,,731A0781-5F3B-4130-8D64-FFDEE8B40C75,http://vcdb.org/pdf/va-security-feb-2014.pdf,,Over 100000,Unknown,923140,19021,,,,,,,,,,,Confirmed,92,923,Unknown,923140,Administration of Veterans' Affairs
4098,4098,united states department of veterans affairs,Yes,Unknown,US,,21.0,7.0,2011,Misdelivery,,,,,MN,,,,7322270D-0EC4-4A3A-BF5C-9D53643F3AF2,http://vcdb.org/pdf/va-security.pdf,,Over 100000,Unknown,923140,19021,,,,,,,,,,,Confirmed,92,923,Unknown,923140,Administration of Veterans' Affairs
4101,4101,united states department of veterans affairs,Yes,Unknown,US,,19.0,4.0,2010,Misdelivery,,,,,MN,,,,73332AE1-067C-429D-80CE-0CE7DAD692E2,http://vcdb.org/pdf/va-security.pdf,,Over 100000,Unknown,923140,19021,,,,,,,,,,,Confirmed,92,923,Unknown,923140,Administration of Veterans' Affairs
4106,4106,united states department of veterans affairs,Yes,Unknown,US,,8.0,3.0,2013,Misdelivery,,,,,MD,,,,735902C7-73B1-4AE0-8688-E5CCBA1BC22E,http://vcdb.org/pdf/va-security.pdf,,Over 100000,Unknown,923140,19021,,,,,,,,,,,Confirmed,92,923,Unknown,923140,Administration of Veterans' Affairs
4107,4107,united states department of veterans affairs,Yes,Unknown,US,,26.0,7.0,2011,,,,Privilege abuse,,TX,,,,73628A93-D8EF-438B-A5D3-E21DBD713526,http://vcdb.org/pdf/va-security.pdf,,Over 100000,Unknown,923140,19021,,,,,,,,,,,Confirmed,92,923,Unknown,923140,Administration of Veterans' Affairs
4108,4108,verizon,Yes,Unknown,US,,,,2017,Misconfiguration,Forced browsing,,,,,,,Opportunistic,4a615ac0-8115-11e7-9cfb-2f8f443557c3,http://www.zdnet.com/article/millions-verizon-customer-records-israeli-data/,Medium,Over 100000,,517312,19021,,,,,,,,,,,Confirmed,51,517,Unknown,,
4115,4115,motion picture industry health plans,Yes,Unknown,US,,,,2014,Misdelivery,,,,,CA,,,,73B58A67-BD54-41DB-942E-599F1FF179B3,https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf,,101 to 1000,,525120,19021,,,,,,,,,,Unknown,Confirmed,52,525,Unknown,525120,Health and Welfare Funds
4117,4117,united states department of veterans affairs,Yes,Unknown,US,,25.0,9.0,2012,Loss,,,,,NE,,,,73BB8FDC-5E48-4078-B1BE-4F1908B7EEF2,http://vcdb.org/pdf/va-security.pdf,,Over 100000,Unknown,923140,19021,,,,,,,,,,,Confirmed,92,923,Unknown,923140,Administration of Veterans' Affairs
4118,4118,dr horton inc,Yes,Unknown,US,,,9.0,2013,Disposal error,,,,,TX,,,,73BC5EF5-559F-40BF-ABB7-E3D573043CFF,http://www.kxan.com/news/local/austin/piles-of-private-documents-found-dumped-in-public-bins,,1001 to 10000,,236117,19021,,,,,,,,,,Unknown,Confirmed,23,236,Unknown,236117,New Housing For-Sale Builders
4119,4119,united states navy,Yes,Unknown,US,,,,2016,,,,Possession abuse,,VA,,,,99B72313-0199-449B-9569-46019739184B,http://pilotonline.com/news/local/crime/bronze-star-recipient-based-in-virginia-beach-pleads-guilty-to/article_c72f6568-62ac-59d1-8a45-88ab86901870.html,,Over 100000,Unknown,928110,19021,,,,,,,,,,Unknown,Confirmed,92,928,Unknown,928110,National Security
4120,4120,united states department of veterans affairs,Yes,Unknown,US,,27.0,5.0,2015,Misdelivery,,,,,AZ,,,,56201FDB-0F09-4A73-B5D7-683B53942712,http://vcdb.org/pdf/va-security-may-2015.pdf,,Over 100000,Unknown,923140,19021,,,,,,,,,,,Confirmed,92,923,Unknown,923140,Administration of Veterans' Affairs
4124,4124,quest diagnostics,Yes,Unknown,US,,,,2012,,,,Privilege abuse,,NJ,,,,73EAF6FA-8643-4431-8E5C-A02D71197E6D,http://doj.nh.gov/consumer/security-breaches/documents/quest-diagnostics-20120817.pdf,,25001 to 50000,,62151,19021,,,,,,,,,,Unknown,Confirmed,62,621,Unknown,62151,Medical and Diagnostic Laboratories
4125,4125,united states department of veterans affairs,Yes,Unknown,US,,13.0,8.0,2012,Misdelivery,,,,,OR,,,,73EC4F0B-7B92-48BA-ACAF-E06BF88B4449,http://vcdb.org/pdf/va-security.pdf,,Over 100000,Unknown,923140,19021,,,,,,,,,,,Confirmed,92,923,Unknown,923140,Administration of Veterans' Affairs
4126,4126,hard rock stadium,Yes,Unknown,US,,29.0,9.0,2019,,,,Unapproved hardware,,FL,,,Opportunistic,64d305c0-1d03-11ea-b94e-893211cca703,https://www.local10.com/news/florida/miami-dade/vendor-arrested-after-charging-fan-724-for-2-beers-during-dolphins-game,High,101 to 1000,,711320,19021,,,,,,,,,,,Confirmed,71,711,Unknown,711320,"Promoters of Performing Arts, Sports, and Similar Events without Facilities "
4127,4127,equinix,Yes,Unknown,US,,7.0,9.0,2020,,Unknown,Ransomware,,,CA,,,Opportunistic,00392c50-0bf6-11ec-9c8a-d72b813bc8ca,https://www.crn.com/news/security/equinix-ransomware-attack-hits-company-s-internal-systems,High,10001 to 25000,,518210,19021,,,,,,,,,,,Confirmed,51,518,Unknown,518210,"Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services"
4134,4134,united states department of veterans affairs,Yes,Unknown,US,,10.0,3.0,2010,Gaffe,,,,,MO,,,,7437FEFD-091E-4C40-9F05-5DA9928F83D9,http://vcdb.org/pdf/va-security.pdf,,Over 100000,Unknown,923140,19021,,,,,,,,,,,Confirmed,92,923,Unknown,923140,Administration of Veterans' Affairs
4136,4136,steps to recovery,Yes,Unknown,US,,24.0,4.0,2019,Misconfiguration,,,,,US-PA,,,,181ea540-b46c-11e9-a8df-bd69f47bcb14,"https://healthitsecurity.com/news/60000-patients-employee-records-breached-in-emcare-email-hack,https://rainbowtabl.es/2019/04/19/steps-to-recovery-recovery-addiction-treatment-center-leak/",High,101 to 1000,,623220,19021,,,,,,,,,,Distracting,Confirmed,62,623,Unknown,623220,Residential Mental Health and Substance Abuse Facilities
4139,4139,university hospitals geauga medical center,Yes,Unknown,US,,15.0,8.0,2015,,,,Privilege abuse,,OH,,,,2D722108-9104-4836-AA53-0732BADDB08A,http://www.databreaches.net/oh-information-on-some-geauga-medical-center-patients-improperly-accessed/,,Large,,622110,19021,,,,,,,,,,Unknown,Confirmed,62,622,Unknown,622110,General Medical and Surgical Hospitals
4143,4143,carefirst,Yes,Unknown,US,,,,2013,Misdelivery,,,,,MD,,,,74573CBF-8677-4E70-9A47-C1953F901A2E,http://healthitsecurity.com/2013/06/11/carefirst-reports-three-separate-breaches-to-oag/,,1001 to 10000,,524114,19021,,,,,,,,,,Unknown,Confirmed,52,524,Unknown,524114,Direct Health and Medical Insurance Carriers
4149,4149,united states department of veterans affairs,Yes,Unknown,US,,24.0,9.0,2010,Misdelivery,,,,,MT,,,,7474B96E-93C8-4883-B224-B88BABC22792,http://vcdb.org/pdf/va-security.pdf,,Over 100000,Unknown,923140,19021,,,,,,,,,,,Confirmed,92,923,Unknown,923140,Administration of Veterans' Affairs
4152,4152,minneapolis city hall,Yes,Unknown,US,,,,2012,,,,Privilege abuse,,MN,,,,749CE13F-FE0B-4FE6-A16A-72D56132F2CC,http://www.startribune.com/local/minneapolis/184365241.html?refer=y,,1001 to 10000,Unknown,92114,19021,,,,,,,,,,Unknown,Confirmed,92,921,Unknown,92114,"Executive and Legislative Offices, Combined "
